number,value,datetime_start,datetime_complete,duration,params_lags,params_lags_past_covariates,state
0,6.272323357116297,2024-10-03 22:31:57.486814,2024-10-03 22:32:05.142384,0 days 00:00:07.655570,29,12,COMPLETE
1,6.808061909804655,2024-10-03 22:32:05.142384,2024-10-03 22:32:13.157502,0 days 00:00:08.015118,18,22,COMPLETE
2,7.222381471583088,2024-10-03 22:32:13.158509,2024-10-03 22:32:17.805729,0 days 00:00:04.647220,5,5,COMPLETE
3,6.600986762998727,2024-10-03 22:32:17.805729,2024-10-03 22:32:23.595913,0 days 00:00:05.790184,26,2,COMPLETE
4,6.572671864337334,2024-10-03 22:32:23.595913,2024-10-03 22:32:31.808765,0 days 00:00:08.212852,22,19,COMPLETE
5,6.437205478911439,2024-10-03 22:32:31.808765,2024-10-03 22:32:37.331615,0 days 00:00:05.522850,30,1,COMPLETE
6,6.921282495629741,2024-10-03 22:32:37.331615,2024-10-03 22:32:45.087860,0 days 00:00:07.756245,7,25,COMPLETE
7,7.186004697512303,2024-10-03 22:32:45.097868,2024-10-03 22:32:50.500312,0 days 00:00:05.402444,6,6,COMPLETE
8,6.725008146918159,2024-10-03 22:32:50.500312,2024-10-03 22:32:56.569486,0 days 00:00:06.069174,16,10,COMPLETE
9,6.841867877340597,2024-10-03 22:32:56.569486,2024-10-03 22:33:03.101276,0 days 00:00:06.531790,9,13,COMPLETE
10,6.357871849440711,2024-10-03 22:33:03.101276,2024-10-03 22:33:12.790602,0 days 00:00:09.689326,23,29,COMPLETE
11,6.168027297006822,2024-10-03 22:33:12.790602,2024-10-03 22:33:23.318439,0 days 00:00:10.527837,30,30,COMPLETE
12,6.1828037539976455,2024-10-03 22:33:23.327944,2024-10-03 22:33:31.227374,0 days 00:00:07.899430,29,16,COMPLETE
13,6.520442753796449,2024-10-03 22:33:31.227374,2024-10-03 22:33:41.102119,0 days 00:00:09.874745,25,30,COMPLETE
14,7.0198124355582205,2024-10-03 22:33:41.102119,2024-10-03 22:33:47.882135,0 days 00:00:06.780016,12,18,COMPLETE
15,6.89868315271347,2024-10-03 22:33:47.882135,2024-10-03 22:33:56.486399,0 days 00:00:08.604264,19,25,COMPLETE
16,6.415936266573001,2024-10-03 22:33:56.486399,2024-10-03 22:34:04.280500,0 days 00:00:07.794101,27,16,COMPLETE
17,6.253850665998155,2024-10-03 22:34:04.280500,2024-10-03 22:34:13.592341,0 days 00:00:09.311841,30,22,COMPLETE
18,7.290615516038452,2024-10-03 22:34:13.592341,2024-10-03 22:34:20.582145,0 days 00:00:06.989804,2,26,COMPLETE
19,6.595305782220444,2024-10-03 22:34:20.582145,2024-10-03 22:34:26.977822,0 days 00:00:06.395677,22,9,COMPLETE
20,6.397178796138865,2024-10-03 22:34:26.987820,2024-10-03 22:34:35.185996,0 days 00:00:08.198176,27,20,COMPLETE
21,6.110344549971379,2024-10-03 22:34:35.185996,2024-10-03 22:34:43.271252,0 days 00:00:08.085256,29,15,COMPLETE
22,6.482575309576676,2024-10-03 22:34:43.271252,2024-10-03 22:34:50.595063,0 days 00:00:07.323811,24,16,COMPLETE
23,6.452505751409525,2024-10-03 22:34:50.595063,2024-10-03 22:34:58.502252,0 days 00:00:07.907189,28,13,COMPLETE
24,6.6624363926927055,2024-10-03 22:34:58.502252,2024-10-03 22:35:04.526003,0 days 00:00:06.023751,20,8,COMPLETE
25,6.776229561847323,2024-10-03 22:35:04.526003,2024-10-03 22:35:12.391023,0 days 00:00:07.865020,13,22,COMPLETE
26,6.267189934850278,2024-10-03 22:35:12.391023,2024-10-03 22:35:21.386742,0 days 00:00:08.995719,30,27,COMPLETE
27,6.4149412118830655,2024-10-03 22:35:21.386742,2024-10-03 22:35:29.692660,0 days 00:00:08.305918,27,15,COMPLETE
28,6.5406311275374485,2024-10-03 22:35:29.692660,2024-10-03 22:35:36.382436,0 days 00:00:06.689776,25,11,COMPLETE
29,6.334902048780244,2024-10-03 22:35:36.382436,2024-10-03 22:35:44.312704,0 days 00:00:07.930268,28,14,COMPLETE
